iter	Logloss
125	0.2540981811
126	0.2531946644
127	0.2526590158
128	0.2516801999
129	0.2511333698
130	0.2500086651
131	0.2492450396
132	0.2481873879
133	0.2471529144
134	0.245873145
135	0.2450581942
136	0.2443739074
137	0.2435722255
138	0.2425614038
139	0.2421315075
140	0.241313806
141	0.2401790811
142	0.2397609893
143	0.2387839155
144	0.2379168437
145	0.2366983454
146	0.2356993876
147	0.2347838897
148	0.2340322564
149	0.2333460607
150	0.2326199181
151	0.2319829709
152	0.2314972948
153	0.2304469771
154	0.229697639
155	0.2290304421
156	0.2282729328
157	0.2273163254
158	0.2265662736
159	0.2258171428
160	0.2249491124
161	0.2245102597
162	0.2237877522
163	0.2231576927
164	0.2225899971
165	0.2217676681
166	0.220660666
167	0.2198684199
168	0.2188352358
169	0.2180778503
170	0.2175028145
171	0.216787207
172	0.2160186421
173	0.2155756377
174	0.2150590766
175	0.2144288701
176	0.2137364346
177	0.2124892901
178	0.2116792664
179	0.2110181215
180	0.2105709308
181	0.2095116879
182	0.2089711623
183	0.2083467434
184	0.2074738543
185	0.2068261589
186	0.2063571496
187	0.2056824355
188	0.205002008
189	0.2043560046
190	0.2036991792
191	0.202882039
192	0.2016546451
193	0.2010339224
194	0.2000839561
195	0.1991097191
196	0.1982449356
197	0.1974913898
198	0.1967112791
199	0.1960641237
200	0.1952085988
201	0.1945657842
202	0.1936984916
203	0.1931424111
204	0.1926250618
205	0.1920266012
206	0.1910195043
207	0.1903834233
208	0.1892909843
209	0.1887189371
210	0.1879560326
211	0.1872867185
212	0.1866583817
213	0.1861333756
214	0.1855793375
215	0.184725035
216	0.1843041129
217	0.1837540356
218	0.1828885499
219	0.1822561589
220	0.1816033131
221	0.1812371961
222	0.1804365216
223	0.179563151
224	0.1787612245
225	0.1779312543
226	0.1772318621
227	0.1764939368
228	0.1756309114
229	0.174870514
230	0.1743854758
231	0.1738830795
232	0.1735221548
233	0.1728529976
234	0.1720024521
235	0.1716989416
236	0.1709185518
237	0.1704265445
238	0.1697414395
239	0.1689090256
240	0.168222625
241	0.1677730304
242	0.1673053705
243	0.1666541258
244	0.1662006589
245	0.1654229774
246	0.1650177715
247	0.1646173488
248	0.1641191884
249	0.1638249512
250	0.1633166203
251	0.1630329221
252	0.1623178607
253	0.161750903
254	0.161147537
255	0.1604736947
256	0.159858106
257	0.1595166254
258	0.1590259029
259	0.1587995341
260	0.158409176
261	0.1578286
262	0.1574747128
263	0.156758708
264	0.1562379503
265	0.1555063696
266	0.1550895204
267	0.1546823246
268	0.1538592828
269	0.1533899106
270	0.1528173266
271	0.1523714096
272	0.152042865
273	0.1517240207
274	0.1511868611
275	0.1506237321
276	0.1499898082
277	0.1495446202
278	0.1490354601
279	0.1486335343
280	0.1483195893
281	0.147713799
282	0.1472112962
283	0.1465416166
284	0.1459002486
285	0.1455439285
286	0.1451483623
287	0.1448053851
288	0.1443161908
289	0.1440586189
290	0.143756704
291	0.1435711576
292	0.1430179268
293	0.142446862
294	0.1419887692
295	0.1414673569
296	0.1410412607
297	0.1407161256
298	0.1402781635
299	0.1397232518
300	0.1394897495
301	0.1391643002
302	0.1388435939
303	0.1382750257
304	0.1378017856
305	0.1372320081
306	0.1367903333
307	0.1364135839
308	0.136101434
309	0.1356183605
310	0.1352952779
311	0.1348274009
312	0.1344743719
313	0.1341928686
314	0.1337705483
315	0.1335714857
316	0.1330925587
317	0.1328585508
318	0.1323733335
319	0.1319442754
320	0.1316531123
321	0.1313046584
322	0.1308144353
323	0.1304830121
324	0.1300684566
325	0.1298150009
326	0.1294778444
327	0.1290739581
328	0.1286032984
329	0.1282803782
330	0.1278549706
331	0.1273608485
332	0.1270125645
333	0.1266092474
334	0.1264268924
335	0.1259187754
336	0.1256440622
337	0.1253081104
338	0.1249214354
339	0.124542652
340	0.1242966513
341	0.1239858955
342	0.1235490382
343	0.1229735371
344	0.1226784058
345	0.1223163816
346	0.1220796233
347	0.1216335246
348	0.1214840735
349	0.1211816944
350	0.1209571676
351	0.1206495323
352	0.1203900752
353	0.1200050371
354	0.1195073389
355	0.1192243453
356	0.1189197651
357	0.1186361346
358	0.118424043
359	0.1182752218
360	0.1180617032
361	0.1177813026
362	0.1174219369
363	0.1170755538
364	0.1167713668
365	0.1164196138
366	0.1160729587
367	0.1159423246
368	0.1157515982
369	0.1153875125
370	0.1150906307
371	0.1148302889
372	0.1144316258
373	0.1141736362
374	0.1139188347
375	0.1137806632
376	0.1136519315
377	0.1134146798
378	0.1132994343
379	0.1130870928
380	0.1127480199
381	0.1124991778
382	0.1121685973
383	0.1118740743
384	0.1116408929
385	0.1114977638
386	0.1113172214
387	0.1111093211
388	0.1108969305
389	0.1106451818
390	0.1104220906
391	0.1101807823
392	0.1099050464
393	0.1095987336
394	0.109260888
395	0.1089686124
396	0.1087204458
397	0.10850232
398	0.1083041326
399	0.1081667075
400	0.1076994007
401	0.1073969313
402	0.1069833619
403	0.1067263677
404	0.106538924
405	0.1061361193
406	0.10600368
407	0.1057885584
408	0.1055157742
409	0.1053035811
410	0.1050645202
411	0.104777257
412	0.1046518268
413	0.1044555069
414	0.1042778984
415	0.1038940129
416	0.1037171213
417	0.103505061
418	0.1031991496
419	0.102920181
420	0.1026636021
421	0.1024582304
422	0.1022201432
423	0.10188387
424	0.1017117421
425	0.1015477474
426	0.1014438213
427	0.1013303687
428	0.1012219207
429	0.1009521952
430	0.1007960762
431	0.1005555446
432	0.1002946036
433	0.09999115504
434	0.09983416212
435	0.09960055264
436	0.09948647834
437	0.09928284086
438	0.09898848773
439	0.09870609002
440	0.0985177702
441	0.09837423447
442	0.09806644829
443	0.09782287379
444	0.09771154815
445	0.09740720106
446	0.0972005498
447	0.09703237726
448	0.0966968686
449	0.09644131252
450	0.09626439232
451	0.09604326549
452	0.09575322026
453	0.09557924534
454	0.09530353999
455	0.09514072053
456	0.09479195699
457	0.09447498218
458	0.09434968438
459	0.0941309185
460	0.09389904768
461	0.0937280178
462	0.09348500634
463	0.09327206288
464	0.09300487292
465	0.09268031134
466	0.09240370837
467	0.09220779929
468	0.09195373141
469	0.09170832483
470	0.09149035996
471	0.09134853317
472	0.09102732469
473	0.0909072375
474	0.09066796022
475	0.09031948489
476	0.09006654748
477	0.08986589623
478	0.08960984182
479	0.08942964154
480	0.08922297142
481	0.0891037105
482	0.08902436496
483	0.08891969368
484	0.08875382356
485	0.08852875348
486	0.08838666023
487	0.08818845572
488	0.08802708528
489	0.0879293738
490	0.08780917098
491	0.08752887952
492	0.08741608211
493	0.08717829091
494	0.08691350618
495	0.08672880386
496	0.08662496786
497	0.08654310118
498	0.08644811021
499	0.08622447065
